CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-07-0199-46,02-018,EL PROGRESO,SANARATE,COLEGIO PRIVADO MIXTO DE CIENCIAS COMERCIALES  SANARATE,2AV. 2-45 ZONA 4,79252112,OSMAR JOSUE GONZALEZ HERNANDEZ,CLAUDIA ESPERANZA MORALES BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0200-46,02-018,EL PROGRESO,SANARATE,COLEGIO  EL ROSARIO,2A. AVE. 3-66 ZONA 4,79253526,OSMAR JOSUE GONZALEZ HERNANDEZ,REINA ELIZABETH DIAZ CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0239-46,02-006,EL PROGRESO,SANARATE,INSTITUTO TECNOLOGICO  SANARATECO,2A AV.-1-76 ZONA 4,79252297,JACQUELINE SUCELY CABRERA LOAIZA DE LEVY,CARLOS OVIDIO RAMOS HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-07-0264-46,02-006,EL PROGRESO,SANARATE,INSTITUTO TECNOLOGICO  SANARATECO,2AV 1-76 ZONA 4 SANARATE,47141991,JACQUELINE SUCELY CABRERA LOAIZA DE LEVY,CARLOS OVIDIO RAMOS HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0265-46,02-001,EL PROGRESO,SANARATE,CENTRO DE ESTUDIOS Y APLICACIONES EN COMPUTACION -CEAC-,1A. CALLE 3-32 ZONA 1,,JORGE MARIO CHINCHILLA JACINTO,-----------------------------------------,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0268-46,02-018,EL PROGRESO,SANARATE,COLEGIO EL ROSARIO,2A. AV. 3-66 ZONA 4,79253526,OSMAR JOSUE GONZALEZ HERNANDEZ,REINA ELIZABETH DIAZ CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-07-0433-46,,EL PROGRESO,SANARATE,COLEGIO VESPERTINO MIXTO 'LA ASUNCION',ALDEA AGUA SALOBREGA,,,,DIVERSIFICADO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0438-46,,EL PROGRESO,SANARATE,COLEGIO VESPERTINO MIXTO 'LA ASUNCION',SANARATE,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0536-46,02-018,EL PROGRESO,SANARATE,"INSTITUTO DE EDUCACIÓN MEDIA POR COOPERATIVA ""SANARATE""","1 CALLE 3-32, ZONA 1",79252525,OSMAR JOSUE GONZALEZ HERNANDEZ,MARÍA LUISA MORALES BRÁN,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0566-46,02-004,EL PROGRESO,SANARATE,COLEGIO  SAGRADO CORAZON DE JESUS,1A. CALLE 1-09 ZONA 4,,EDGAR RUDY MORALES GODINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0637-46,02-013,EL PROGRESO,SANARATE,COLEGIO ZANATL,AV. ISMAEL 5-05 ZONA 1,79252518,JOHANA MAYBELLÍ DÍAZ MARTTÍNEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0678-46,02-018,EL PROGRESO,SANARATE,ESCUELA TECNICA CIENCIA APLICADA ESTECA-PC,7A. CALLE 3-29 ZONA 4,79253207,OSMAR JOSUE GONZALEZ HERNANDEZ,EDGAR OMAR GONZÁLEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0679-46,02-018,EL PROGRESO,SANARATE,ESCUELA TECNICA CIENCIA APLICADA ESTECA-PC,7A. CALLA 3-29 ZONA 4,79253207,OSMAR JOSUE GONZALEZ HERNANDEZ,EDGAR OMAR GONZÁLEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0691-46,02-018,EL PROGRESO,SANARATE,ESCUELA TECNICA CIENCIA APLICADA ESTECA-PC,7A. CALLE 3-29 ZONA 4,79253207,OSMAR JOSUE GONZALEZ HERNANDEZ,EDGAR OMAR GONZÁLEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-07-0699-46,02-018,EL PROGRESO,SANARATE,ESCUELA TECNICA CIENCIA APLICADA ESTECA-PC,7A. CALLE 3-29 ZONA 4,79253207,OSMAR JOSUE GONZALEZ HERNANDEZ,EDGAR OMAR GONZÁLEZ RODAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-07-0714-46,02-018,EL PROGRESO,SANARATE,COLEGIO PRIVADO MIXTO DE CIENCIAS COMERCIALES  SANARATE,2A. AV. 2-45 ZONA 4,79252112,OSMAR JOSUE GONZALEZ HERNANDEZ,CLAUDIA ESPERANZA MORALES BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0754-46,02-018,EL PROGRESO,SANARATE,COLEGIO PRIVADO MIXTO DE CIENCIAS COMERCIALES  SANARATE,2A. AVENIDA 2-45 ZONA 4,79252112-79253509,OSMAR JOSUE GONZALEZ HERNANDEZ,CLAUDIA ESPERANZA MORALES BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-07-0755-46,02-023,EL PROGRESO,SANARATE,COLEGIO PROFESIONAL DE TURISMO  GUATEMALAM,1A. AVENIDA 3-35 ZONA 1,79452850,MIGDALIA AZUCENA FAJARDO DEL CID,FELIX ALEXANDER LOPEZ MEJIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-07-0762-46,02-023,EL PROGRESO,SANARATE,COLEGIO PROFESIONAL DE TURISMO  GUATEMALAM,1A. AVENIDA 3-35 ZONA 1,79452850,MIGDALIA AZUCENA FAJARDO DEL CID,RUBE ELY DARDÓN CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-07-0823-46,02-018,EL PROGRESO,SANARATE,COLEGIO PRIVADO  ENRIQUE NOVELLA ALVARADO,"FINCA SAN MIGUEL RIO ABAJO, ALDEA EL SINACA",58343695,OSMAR JOSUE GONZALEZ HERNANDEZ,RODOLFO GERARDO FONSECA SARMIENTO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-08-0012-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CABECERA MUNICIPAL,31426017,MARTA ALICIA CRUZ PEREZ,ADRIANA DEL ROSARIO PÉREZ MIJANGOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0018-46,02-004,EL PROGRESO,SAN ANTONIO LA PAZ,COLEGIO PRIVADO LICEO GABRIEL,COLONIA VALLE DE BELEN CASA NO. 1 ALDEA AGUA CALIENTE,44738213,EDGAR RUDY MORALES GODINEZ,GLORIA ESTELA HERNANDEZ GARCIA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-08-0019-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,COLEGIO PRIVADO LICEO GABRIEL,COLONIA VALLE DE BELEN CASA NO. 1 ALDEA AGUA CALIENTE,44738213,MARTA ALICIA CRUZ PEREZ,YEICY ROSIBEL DONIS HERNÁNDEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0021-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,"INSTITUTO MUNICIPAL DE EDUCACIÓN DIVERSIFICADA ""JOSÉ INÉS CÁCERES""",ALDEA AGUA CALIENTE,40120019,MARTA ALICIA CRUZ PEREZ,ADRIANA  GODINEZ NORIEGA,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0022-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,COLEGIO LA PAZ,BARRIO EL CALVARIO,42318551,MARTA ALICIA CRUZ PEREZ,FLAVIA ANABELLA SÁNCHEZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0023-46,02-011,EL PROGRESO,SAN ANTONIO LA PAZ,COLEGIO PRIVADO LICEO SAN ANTONIO,BARRIO EL CALVARIO,45072631,EMILZA MARLENY GARRIDO PEREZ DE SANCHEZ,FLORIDALMA  MORALES GRAMAJO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0030-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA SANTO DOMINGO LOS OCOTES,45719074,MARTA ALICIA CRUZ PEREZ,MARIA CONCEPCIÓN SANTOS ALVAREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0535-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO EL CENTRO,,MARTA ALICIA CRUZ PEREZ,SERGIO ISIDRO CARÍAS COLINDRES,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0759-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,LICEO TECNOLOGICO AGUA CALIENTE,ALDEA AGUA CALIENTE,52970615,MARTA ALICIA CRUZ PEREZ,LUIS GUSTAVO MORALES CORZO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-08-0783-46,02-008,EL PROGRESO,SAN ANTONIO LA PAZ,LICEO TECNOLOGICO AGUA CALIENTE,ALDEA AGUA CALIENTE,52156820,MARTA ALICIA CRUZ PEREZ,LUIS GUSTAVO MORALES CORZO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,EL PROGRESO
,,,,,,,,,,,,,,,,
05-01-0110-46,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAÑO Y VILLEGAS,1A AVE. SUR 10-30 ZONA 1,78880048,REMY ARTURO SINAY GUDIEL,CARLOS JOSE RODRIGO RODRIGUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0112-46,05-001,ESCUINTLA,ESCUINTLA,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA  CENTRO EDUCATIVO ESPAÑOL,3A AVE. 4-50 ZONA 1,,MARIA DEL CARMEN SANDOVAL LOPEZ,TRINIDAD MORALES MACARIO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0114-46,,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO COLEGIO 'MIGUEL ANGEL ASTURIAS',5A AVE. 6-61 ZONA 1,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0116-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO 'PEDAGOGICO ESCUINTLECO CIENCIA Y ARTE',5A AVE. 10-87 ZONA 1,78892455,REMY ARTURO SINAY GUDIEL,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0117-46,05-033,ESCUINTLA,ESCUINTLA,LICEO MIXTO NOCTURNO IZCUINTLAN,5A AVE. 6-61 ZONA 1,,REMY ARTURO SINAY GUDIEL,DIANA PAOLA PEREIRA RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0119-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO ESCOLAR NUESTRA SEÑORA DE CONCEPCION,KM. 59 CARRETERA A SANTA LUCIA COTZUMALGUAPA,78881194,REMY ARTURO SINAY GUDIEL,MILTON LAUREANO GONZÁLEZ LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0121-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO EXPERIMENTAL DEL SUR,1A. CALLE 2-38 ZONA 3,31651314,REMY ARTURO SINAY GUDIEL,JUAN ROMEO SUÁREZ CHACÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0123-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'MINERVA',8A CALLE 2-54 ZONA 1,,REMY ARTURO SINAY GUDIEL,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0126-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO  ESCUINTLECO BILINGÜE,1A AVENIDA 6-60 ZONA 4,78890988,REMY ARTURO SINAY GUDIEL,GIEZI HAZAEL LÓPEZ BLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0127-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EVANGELICO TECNICO ESCUINTLECO,1A. AVENIDA 6-08 ZONA 4,78202058,REMY ARTURO SINAY GUDIEL,SILVIA HONESTINA HURTARTE DE CUEVAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0129-46,05-033,ESCUINTLA,ESCUINTLA,LICEO JUVENIL CENTROAMERICANO,7A CALLE 3-02 ZONA 1,78880365,REMY ARTURO SINAY GUDIEL,DIANA PAOLA PEREIRA RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0131-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO 'MIGUEL ANGEL ASTURIAS',5A AVE 6-61 ZONA 1,,REMY ARTURO SINAY GUDIEL,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0144-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,"3A. AV. 5-52 ZONA 1 ESCUINTLA,",78894544,REMY ARTURO SINAY GUDIEL,NIDIA AMARILIS GALVEZ CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0145-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO NACIONAL DE PERITO EN MERCADOTECNIA Y PUBLICIDAD,4A. AVE. SUR 15-20 ZONA 4,78893272,REMY ARTURO SINAY GUDIEL,MARIELA FLORIBÉL MÉNDEZ MALDONADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0146-46,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL MIXTA NOCTURNA DE  CIENCIAS COMERCIALES,1A AVE. 10-30 ZONA 1,57171570,REMY ARTURO SINAY GUDIEL,LEONEL ARNULFO ORTEGA MORATAYA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0153-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO MAYA,4A. AVENIDA 6-76 ZONA 1,41349750-54182377,REMY ARTURO SINAY GUDIEL,BYRON ESTUARDO GONZALEZ ENRIQUEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0175-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO DE CAPACITACION Y PRODUCTIVIDAD -INTECAP-,"4A. CALLE Y 16 AVENIDA ZONA 5 COLONIA ""HUNAPU""",77903232,REMY ARTURO SINAY GUDIEL,DANIEL EDMUNDO ARREAZA NAVAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0184-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,1ERA. AVENIDA 10-30 ZONA 1 COLONIA EL PROGRESO,78895918,REMY ARTURO SINAY GUDIEL,MARÍA EUGENIA BARRERA BARREDA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0187-46,05-033,ESCUINTLA,ESCUINTLA,LICEO INTEGRAL DEL SUR,"7A. CALLE 2-64, ZONA 3, BARRIO SAN MIGUEL",78268277,REMY ARTURO SINAY GUDIEL,KIMBERLY KARINA GUZMÁN MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0205-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO TECNICO Y PRACTICO FARMING,"ESCUELA DE COLONIA POPULAR, ZONA 2",42009525,REMY ARTURO SINAY GUDIEL,HUGO EFRAIN BARRERA DE PAZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0207-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EVANGELICO EL EDEN,6A CALLE 1-60 ZONA 3 BARRIO SANTA ANA,41086951,REMY ARTURO SINAY GUDIEL,SANDRA JUDITH COLLADO SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0226-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO AGROFORESTAL EL BOSQUE,6TA. AVENIDA 1-60 ZONA 3 INTERIOR COLEGIO SANTA FAMILIA,51259060,REMY ARTURO SINAY GUDIEL,HILDA MARIBEL MACHUCA ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0231-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,KM. 60 LA FELICIDAD SALIDA A PUERTO SAN JOSÉ,47691929,REMY ARTURO SINAY GUDIEL,JESSICA JEANNETTE SAGASTUME HICKS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0253-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO CIENCIAS INDUSTRIALES,2DA. CALLE 3-28 ZONA 1,78898879,REMY ARTURO SINAY GUDIEL,MAYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0256-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO SANTIAGO DE LOS CABALLEROS DE GUATEMALA,2DA AVENIDA 10-98 ZONA 1,78898751,REMY ARTURO SINAY GUDIEL,SILVIA ELENA RUIZ THEISSEN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0259-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,KM. 60 LA FELICIDAD SALIDA A PUERTO SAN JOSÉ ESCUINTLA,78841293,REMY ARTURO SINAY GUDIEL,JESSICA JEANNETTE SAGASTUME HICKS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0263-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGÜE,1RA.   AVENIDA 6-60 ZONA 4,78890988,REMY ARTURO SINAY GUDIEL,GIEZI HAZAEL LÓPEZ BLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0269-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO BANAPORT,4TA CALLE 16 AVENIDA ZONA 5 COLONIA HUNAPU ESCUINTLA,30103284,REMY ARTURO SINAY GUDIEL,CARLOS ENRIQUE LÓPEZ MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0270-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1A. AVENIDA 6-08 ZONA 4 ESCUINTLA,78899679,REMY ARTURO SINAY GUDIEL,SILVIA HONESTINA HURTARTE RECINOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0271-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,5A CALLE 5-10 ZONA 3 COLONIA MADRID,50232975,REMY ARTURO SINAY GUDIEL,MIRIAM AZUCENA MARTINEZ GARCIA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0272-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO CIENCIAS INDUSTRIALES,2DA. CALLE 3-38 ZONA 1,78898879,REMY ARTURO SINAY GUDIEL,MAYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0273-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1ERA AVENIDA 6-08 ZONA 1,78899679,REMY ARTURO SINAY GUDIEL,SILVIA HONESTINA HURTARTE RECINOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0274-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1ERA AVENIDA 6-08 ZONA 4,78899679,REMY ARTURO SINAY GUDIEL,SILVIA HONESTINA HURTARTE RECINOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0275-46,05-033,ESCUINTLA,ESCUINTLA,LICEO EDUCATIVO TECNICO EVANGELICO,1RA.  AVENIDA 6-08 ZONA 4,78899679,REMY ARTURO SINAY GUDIEL,SILVIA HONESTINA HURTARTE RECINOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0278-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO  CIENCIAS INDUSTRIALES,2DA. CALLE 3-28 ZONA 1,78898879,REMY ARTURO SINAY GUDIEL,MAYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0280-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO DR. JOSÉ SEVERO MARTÍNEZ,5A. AVENIDA 6-61 ZONA 1,48734181,REMY ARTURO SINAY GUDIEL,EDGAR RAFAEL HURTARTE GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0288-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,6A. CALLE 2-73 ZONA 1,78894544,REMY ARTURO SINAY GUDIEL,HILDA YOLANDA VÁSQUEZ LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0289-46,05-033,ESCUINTLA,ESCUINTLA,LICEO FUENTE DE VIDA,LOTE 156 FLORIDO ACEITUNO,56211051,REMY ARTURO SINAY GUDIEL,DIOGENES BAUDILIO FIGUEROA CRUZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
