DEPARTAMENTO,MUNICIPIO,DISTRITO,ESTABLECIMIENTO,ESTABLECIMIENTO_NORM,DIRECCION,DIRECCION_NORM,TELEFONO,TELEFONO_ESTD,TELEFONOS_LIST,CODIGO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,PORCENTAJE_FALTANTE,CLAVE_BLOQUEO
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-009,INSTITUTO DE FORMACION SECRETARIAL,DE FORMACION SECRETARIAL,3A. CALLE PONIENTE NO.4 ENTRE 5A. Y 6A. AVENIDA,3A CALLE PONIENTE NO 4 ENTRE QUINTA Y 6A AVENIDA,78329756,78329756,78329756,03-01-1382-46,AURA MARINA LORENZO SAGCHE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,5.88235294117647,ANTIGUA GUATEMALA|DE FORMACION SEC|3A CALLE PON
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,INSTITUTO DE FORMACION SECRETARIAL,DE FORMACION SECRETARIAL,CALLE DEL ESPIRITU SANTO NO. 4.,CALLE DEL ESPIRITU SANTO NO 4,78591906,78591906,78591906,03-01-1056-46,ZOILA ESTHELA JONFE OROZCO,ESTUARDO  GARCIA CARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|DE FORMACION SEC|CALLE DEL ES
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,CENTRO EDUCATIVO DEL DISEÑO Y LA ALTA COSTURA,DEL DISENO Y LA ALTA COSTURA,9A. CALLE  A ORIENTE NO. 19,9A CALLE A ORIENTE NO 19,78720050,78720050,78720050,03-01-0887-46,ZOILA ESTHELA JONFE OROZCO,CLAUDIA ISOLINA RUANO MUÑOZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|DEL DISENO Y LA |9A CALLE A O
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO DR. JUAN JOSE AREVALO BERMEJO,DR JUAN JOSE AREVALO BERMEJO,BARRIO SAN LUQUITAS NO. 29,BARRIO SAN LUQUITAS NO 29,78429152,78429152,"78429152,78429153",03-01-0199-46,ZOILA ESTHELA JONFE OROZCO,HILTON SOEL PÉREZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA|VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|DR JUAN JOSE ARE|BARRIO SAN L
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,CENTRO EDUCACIONAL VALLE COLONIAL,EDUCACIONAL VALLE COLONIAL,CALLE ANCHA DE LOS HERREROS  NO. 59 INTERIOR,CALLE ANCHA DE LOS HERREROS NO 59 INTERIOR,78321483,78321483,"78321483,78329444",03-01-0154-46,ZOILA ESTHELA JONFE OROZCO,EDGAR ADOLFO VALLE ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|DOBLE|VESPERTINA|MATUTINA|VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|EDUCACIONAL VALL|CALLE ANCHA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,CENTRO EDUCATIVO EL VALLE,EL VALLE,LOTIFICACION SANTIAGO DE LOS CABALLEROS N.6,LOTIFICACION SANTIAGO DE LOS CABALLEROS N 6,78321184,78321184,78321184,03-01-1046-46,ZOILA ESTHELA JONFE OROZCO,MARÍA FELISA OVALLE AGUIRRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|EL VALLE|LOTIFICACION
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-009,COLEGIO EVANGELICO MIXTO CENTROAMERICANO,EVANGELICO CENTROAMERICANO,2A. CALLE ORIENTE NO.14,2A CALLE ORIENTE NO 14,78320208,78320208,78320208,03-01-1205-46,AURA MARINA LORENZO SAGCHE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,5.88235294117647,ANTIGUA GUATEMALA|EVANGELICO CENTR|2A CALLE ORI
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,INSTITUTO INDIGENA NUESTRA SEÑORA DEL SOCORRO,INDIGENA NUESTRA SENORA DEL SOCORRO,PLAZUELA BELEN,PLAZUELA BELEN,78320322,78320322,78320322,03-01-0053-46,ZOILA ESTHELA JONFE OROZCO,MARIA CONSUELO QUINTANILLA MEZA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|INDIGENA NUESTRA|PLAZUELA BEL
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,INSTITUTO INDIGENA NUESTRA SEÑORA DEL SOCORRO,INDIGENA NUESTRA SENORA DEL SOCORRO,PLAZUELA DE BELEN,PLAZUELA DE BELEN,78320322,78320322,78320322,03-01-0156-46,ZOILA ESTHELA JONFE OROZCO,MARÍA DEL CARMEN GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|INDIGENA NUESTRA|PLAZUELA DE 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO INNOVACION EDUCATIVA,INNOVACION EDUCATIVA,CALLE DE LA AZOTEA NO. 23,CALLE DE LA AZOTEA NO 23,78325547,78325547,78325547,03-01-0189-46,ZOILA ESTHELA JONFE OROZCO,IRMA JANNETTE CUÉLLAR NÁJERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|INNOVACION EDUCA|CALLE DE LA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MIXTO  INTEGRAL SANTIAGO,INTEGRAL SANTIAGO,LOTIFICACION EL COROZAL NO. 6-7 ALDEA SANTA ANA,LOTIFICACION EL COROZAL NO 6 7 ALDEA SANTA ANA,78325188,78325188,"78325188,78325208",03-01-0860-46,ZOILA ESTHELA JONFE OROZCO,JOSÉ ANTONIO CARRASCOZA OCHAETA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE|VESPERTINA|MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|INTEGRAL SANTIAG|LOTIFICACION
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO LA SALLE,LA SALLE,4A. AVENIDA NORTE N-26,4A AVENIDA NORTE N 26,78320556,78320556,78320556,03-01-0057-46,ZOILA ESTHELA JONFE OROZCO,MARCOS MANUEL HERNÁNDEZ PÉREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|LA SALLE|4A AVENIDA N
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-009,COLEGIO MERCANTIL ANTIGUEÑO,MERCANTIL ANTIGUENO,COLONIA EL CARMEN #20,COLONIA EL CARMEN 20,,SIN_TELEFONO,,03-01-1308-46,AURA MARINA LORENZO SAGCHE,---,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,5.88235294117647,ANTIGUA GUATEMALA|MERCANTIL ANTIGU|COLONIA EL C
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MUNDO VERDE,MUNDO VERDE,2A. AVENIDA SUR NO. 46,2A AVENIDA SUR NO 46,78320315,78320315,78320315,03-01-0075-46,ZOILA ESTHELA JONFE OROZCO,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|MUNDO VERDE|2A AVENIDA S
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MUNDO VERDE,MUNDO VERDE,2DA. AVENIDA SUR NO. 46,2DA AVENIDA SUR NO 46,78320315,78320315,78320315,03-01-0184-46,ZOILA ESTHELA JONFE OROZCO,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|MUNDO VERDE|2DA AVENIDA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,INSTITUTO MUNICIPAL DE EDUCACION BASICA,MUNICIPAL DE EDUCACION BASICA,"1A. AVENIDA 3ER. CANTON FINAL, ALDEA SAN PEDRO LAS HUERTAS",1A AVENIDA 3ER CANTON FINAL ALDEA SAN PEDRO LAS HUERTAS,78739308,78739308,78739308,03-01-0220-46,ZOILA ESTHELA JONFE OROZCO,LIDIA SALEM OJER TOLEDO,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|MUNICIPAL DE EDU|1A AVENIDA 3
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,INSTITUTO MUNICIPAL DE EDUCACION DIVERSIFICADA,MUNICIPAL DE EDUCACION DIVERSIFICADA,2DA. CALLE ORIENTE NO. 1 ALDEA SAN JUAN DEL OBISPO,2DA CALLE ORIENTE NO 1 ALDEA SAN JUAN DEL OBISPO,59721931,59721931,59721931,03-01-0119-46,ZOILA ESTHELA JONFE OROZCO,VICTOR HUGO SIMÓN MARROQUÍN,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|MUNICIPAL DE EDU|2DA CALLE OR
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-001,ESCUELA  NORMAL DE EDUCACION FISICA,NORMAL DE EDUCACION FISICA,SALIDA A SANTA MARIA DE JESUS KILOMETRO 2,SALIDA A SANTA MARIA DE JESUS KILOMETRO 2,47251130,47251130,47251130,03-01-1231-46,JUAN DEMETRIO SICAJOL PEREZ,NIXA YANETH VELÁSQUEZ BARRIOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|NORMAL DE EDUCAC|SALIDA A SAN
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-001,INSTITUTO NORMAL P/SEÑORITAS  OLIMPIA LEAL,NORMAL P SENORITAS OLIMPIA LEAL,5A. CALLE ORIENTE N-15,QUINTA CALLE ORIENTE N 15,78323391,78323391,78323391,03-01-0058-46,JUAN DEMETRIO SICAJOL PEREZ,SONIA JUDITH GALVEZ GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|NORMAL P SENORIT|QUINTA CALLE
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-001,INSTITUTO NORMAL PARA VARONES  ANTONIO LARRAZABAL,NORMAL PARA VARONES ANTONIO LARRAZABAL,FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KM.2,FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KILOMETRO 2,58437849,58437849,"58437849,78326559",03-01-0059-46,JUAN DEMETRIO SICAJOL PEREZ,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE|VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|NORMAL PARA VARO|FINCA LA PRI
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-009,LICEO NUESTRA SE%ORA DE FATIMA,NUESTRA SE%ORA DE FATIMA,1A. AVENIDA SUR NO.9,1A AVENIDA SUR NO 9,"78320432, 78327352",78320432,78320432,03-01-1376-46,AURA MARINA LORENZO SAGCHE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ,5.88235294117647,ANTIGUA GUATEMALA|NUESTRA SE%ORA D|1A AVENIDA S
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,LICEO MIXTO NUESTRA SEÑORA DE FATIMA,NUESTRA SENORA DE FATIMA,2A. CALLE ORIENTE NO. 22,2A CALLE ORIENTE NO 22,78328796,78328796,78328796,03-01-1087-46,ZOILA ESTHELA JONFE OROZCO,MARIO RUBÉN GARCÍA MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA|MATUTINA|VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|NUESTRA SENORA D|2A CALLE ORI
SACATEPEQUEZ,ANTIGUA GUATEMALA,,LICEO MIXTO NUESTRA SEÑORA DE FATIMA,NUESTRA SENORA DE FATIMA,2AV. SUR N.45,2AVENIDA SUR N 45,78320086,78320086,78320086,03-01-1098-46,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,17.647058823529413,ANTIGUA GUATEMALA|NUESTRA SENORA D|2AVENIDA SUR
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-009,INSTITUTO PRIVADO P/SEÑORITAS DE EDUCACION DIVERSIFICADA COLEGIO  MARTIN,P SENORITAS DE EDUCACION DIVERSIFICADA MARTIN,3A. CALLE PONIENTE N-19  A,3A CALLE PONIENTE N 19 A,78325878,78325878,78325878,03-01-0065-46,AURA MARINA LORENZO SAGCHE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,5.88235294117647,ANTIGUA GUATEMALA|P SENORITAS DE E|3A CALLE PON
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-012,INSTITUTO PRIVADO P/SEÑORTIAS DE EDUCACION DIVERSIFICADA COLEGIO  BOSTON,P SENORTIAS DE EDUCACION DIVERSIFICADA BOSTON,1A. AVENIDA NORTE N-10,1A AVENIDA NORTE N 10,78321617,78321617,78321617,03-01-0064-46,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,11.76470588235294,ANTIGUA GUATEMALA|P SENORTIAS DE E|1A AVENIDA N
SACATEPEQUEZ,ANTIGUA GUATEMALA,,INSTITUTO PARA 'SECRETARIAS Y OFICINISTAS CON ORIENT. JURIDICA EN ADMON. HOTELERA',PARA 'SECRETARIAS Y OFICINISTAS CON ORIENT JURIDICA EN ADMON HOTELERA',ANTIGUA GUATEMALA,ANTIGUA GUATEMALA,,SIN_TELEFONO,,03-01-0380-46,,,DIVERSIFICADO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,23.52941176470588,ANTIGUA GUATEMALA|PARA 'SECRETARIA|ANTIGUA GUAT
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,PARTICULAR CIENCIA Y DESARROLLO,"9A. CALLE ORIENTE NO. 13 ""A""","9A CALLE ORIENTE NO 13 ""A""",58566256,58566256,"58566256,78327261",03-01-0259-46,ZOILA ESTHELA JONFE OROZCO,DINA  CARRILLO PAREDES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|DOBLE|SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|PARTICULAR CIENC|9A CALLE ORI
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,INSTITUTO PARTICULAR  MARTIN,PARTICULAR MARTIN,LA ANTIGUA GUATEMALA,LA ANTIGUA GUATEMALA,79311313,79311313,79311313,03-01-0275-46,ZOILA ESTHELA JONFE OROZCO,",",DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|PARTICULAR MARTI|LA ANTIGUA G
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-012,CENTRO PEDAGOGICO ANTIGUEÑO,PEDAGOGICO ANTIGUENO,CALLE DE LA PILA COLORADA NO.1,CALLE DE LA PILA COLORADA NO 1,,SIN_TELEFONO,,03-01-1034-46,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,17.647058823529413,ANTIGUA GUATEMALA|PEDAGOGICO ANTIG|CALLE DE LA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MIXTO POLITECNICO PEDAGOGICO,POLITECNICO PEDAGOGICO,ALDEA SAN GASPAR VIVAR NO.1,ALDEA SAN GASPAR VIVAR NO 1,78325262,78325262,78325262,03-01-1035-46,ZOILA ESTHELA JONFE OROZCO,ZOILA HAYDEE CRUZ CARRERA,DIVERSIFICADO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|POLITECNICO PEDA|ALDEA SAN GA
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,LICEO POLITECNICO PEDAGOGICO ANTIGUEÑO,POLITECNICO PEDAGOGICO ANTIGUENO,BARRI0 SAN LUQUITAS NO. 29,BARRI0 SAN LUQUITAS NO 29,79370154,79370154,79370154,03-01-0186-46,ZOILA ESTHELA JONFE OROZCO,CLAUDIA MIRELLA LOPEZ HURTARTE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|POLITECNICO PEDA|BARRI0 SAN L
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,LICEO POLITECNICO PEDAGOGICO ANTIGUEÑO,POLITECNICO PEDAGOGICO ANTIGUENO,BARRIO SAN LUQUITAS NO. 29,BARRIO SAN LUQUITAS NO 29,55641214,55641214,"55641214,77954936,79370154",03-01-0251-46,ZOILA ESTHELA JONFE OROZCO,CLAUDIA MIRELLA LOPEZ HURTARTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA|VESPERTINA,SEMIPRESENCIAL (FIN DE SEMANA),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|POLITECNICO PEDA|BARRIO SAN L
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,PRE UNIVERSITARIO GALILEO GALILEI,CALLE ANCHA NO. 86,CALLE ANCHA NO 86,78320255,78320255,78320255,03-01-0090-46,ZOILA ESTHELA JONFE OROZCO,VERALUCÍA ALESSANDRA CASTELLANOS GALINDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|PRE UNIVERSITARI|CALLE ANCHA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MIXTO PREUNIVERSITARIO  GALILEO GALILEI,PREUNIVERSITARIO GALILEO GALILEI,CALLE ANCHA NO.86,CALLE ANCHA NO 86,78320255,78320255,78320255,03-01-1127-46,ZOILA ESTHELA JONFE OROZCO,VERALUCÍA ALESSANDRA CASTELLANOS GALINDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|PREUNIVERSITARIO|CALLE ANCHA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,CENTRO PROFESIONAL EDUCATIVO -CPE-,PROFESIONAL CPE,2A. AVENIDA SUR NO. 46,2A AVENIDA SUR NO 46,78326590-40441097,78326590,78326590,03-01-1100-46,ZOILA ESTHELA JONFE OROZCO,FRANCISCO JAVIER MORALES REYES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,SABATINO,SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|PROFESIONAL CPE|2A AVENIDA S
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,CENTRO PROFESIONAL EDUCATIVO CPE,PROFESIONAL CPE,9A. CALLE ORIENTE N.13  A,9A CALLE ORIENTE N 13 A,78326590,78326590,78326590,03-01-1303-46,ZOILA ESTHELA JONFE OROZCO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,5.88235294117647,ANTIGUA GUATEMALA|PROFESIONAL CPE|9A CALLE ORI
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-016,"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA, PRONEA",PROGRAMA DE EDUCACION ALTERNATIVA PRONEA,6TA. AVENIDA NORTE NO. 80,6TA AVENIDA NORTE NO 80,79311313,79311313,79311313,03-01-0219-46,OSCAR OSWALDO SON CAMEZ,IVONE ELIZABETH NAVAS BARRIOS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|PROGRAMA DE EDUC|6TA AVENIDA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO REY DE LAS NACIONES,REY DE LAS NACIONES,"KILOMETRO 50, CARRETERA A SAN JUAN DEL OBISPO",KILOMETRO 50 CARRETERA A SAN JUAN DEL OBISPO,78329202,78329202,78329202,03-01-0089-46,ZOILA ESTHELA JONFE OROZCO,LESBIA NINETH GONZÁLEZ GOS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|REY DE LAS NACIO|KILOMETRO 50
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,LICEO ROSALES,ROSALES,CALLE DE LOS NAZARENOS NO. 16,CALLE DE LOS NAZARENOS NO 16,78325538,78325538,78325538,03-01-0055-46,ZOILA ESTHELA JONFE OROZCO,LYDIA ABELINA ROSALES CHÁVEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|ROSALES|CALLE DE LOS
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,LICEO ROSALES,ROSALES,KM. 46.3 CARRETERA A CIUDAD VIEJA,KILOMETRO 46 3 CARRETERA A CIUDAD VIEJA,77569111,77569111,77569111,03-01-0187-46,ZOILA ESTHELA JONFE OROZCO,MONICA JUDITH DE LEON CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|ROSALES|KILOMETRO 46
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-001,COLEGIO MIXTO SAN ESTANISLAO DE KOSTKA,SAN ESTANISLAO DE KOSTKA,1A. AVENIDA NORTE N-9 A,1A AVENIDA NORTE N 9 A,78326146,78326146,78326146,03-01-0889-46,JUAN DEMETRIO SICAJOL PEREZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,5.88235294117647,ANTIGUA GUATEMALA|SAN ESTANISLAO D|1A AVENIDA N
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MIXTO SAN FELIPE,SAN FELIPE,CALLE AL PORTAL NO. 01 BARRIO SAN ANTONIO,CALLE AL PORTAL NO 01 BARRIO SAN ANTONIO,43665653,43665653,"43665653,59047593",03-01-0179-46,ZOILA ESTHELA JONFE OROZCO,HECTOR GEOVANI VELASQUEZ HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE|SIN JORNADA,FIN DE SEMANA,SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|SAN FELIPE|CALLE AL POR
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO  SANTA FAMILIA,SANTA FAMILIA,6TA. AVENIDA NORTE NO. 80,6TA AVENIDA NORTE NO 80,79311313,79311313,79311313,03-01-1319-46,ZOILA ESTHELA JONFE OROZCO,PAULA JIATZ,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|SANTA FAMILIA|6TA AVENIDA 
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,CENTRO EDUCATIVO LICEO SANTA FE,SANTA FE,NO. 42 LOTIFICACION VALLE DE SANTIAGO ANTIGUA,NO 42 LOTIFICACION VALLE DE SANTIAGO ANTIGUA,59715707,59715707,59715707,03-01-0169-46,ZOILA ESTHELA JONFE OROZCO,LOURDES ELENA CASTELLANOS MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|SANTA FE|NO 42 LOTIFI
SACATEPEQUEZ,ANTIGUA GUATEMALA,03-002,COLEGIO MIXTO  SANTIAGO DE LOS CABALLEROS,SANTIAGO DE LOS CABALLEROS,"LOTIFICACION SAN PEDRO PANORAMA, LOTES 67,68 Y 69",LOTIFICACION SAN PEDRO PANORAMA LOTES 67 68 Y 69,41478868,41478868,41478868,03-01-0305-46,ZOILA ESTHELA JONFE OROZCO,LUIS FELIPE CONTRERAS QUINTANILLA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,0.0,ANTIGUA GUATEMALA|SANTIAGO DE LOS |LOTIFICACION
